Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.4.1100:mRNA-p1;Tb927.11.680:mRNA-p1;Tb11.0880:mRNA-p1	Tb927.4.1100:mRNA-p1;Tb927.11.680:mRNA-p1;Tb11.0880:mRNA-p1	3;3;3	3;3;3	3;3;3	Tb927.4.1100:mRNA-p1 | transcript=Tb927.4.1100:mRNA | gene=Tb927.4.1100 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribosomal protein L21E (60S), putative | transcript_product=ribosomal protein L21E (60S), putative | location=Tb927_04_v5.1:	3	3	3	3	3	0	3	0	3	0	19.5	19.5	19.5	18.015	159	159;159;159	1	3	0	20.572	By MS/MS		0.084679	0.16133	38.944	3	3	Median	0.084679	NaN	0.16133	NaN	38.944	NaN	3	0	3	0	Median	Median	19.5	0	440810	393160	47653	440810	393160	47653	0	0	0	55101	49145	5956.6	55101	49145	5956.6	0	0	0	1292700	208550	0	0				25	430;751;846	True;True;True	482;841;942	787;1390;1554	1295;2303;2569	1295;2303;2569		
Tb927.11.1840:mRNA-p1;Tb11.1380.1-p1	Tb927.11.1840:mRNA-p1;Tb11.1380.1-p1	3;3	3;3	3;3	Tb927.11.1840:mRNA-p1 | transcript=Tb927.11.1840:mRNA | gene=Tb927.11.1840 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:548222-5494	2	3	3	3	3	0	3	0	3	0	10.5	10.5	10.5	45.633	399	399;399	1	3	0	28.584	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	10.5	0	159370	155720	3651.8	159370	155720	3651.8	0	0	0	7244.3	7078.3	165.99	7244.3	7078.3	165.99	0	0	0	244240	35179	0	0				26	188;678;760	True;True;True	209;759;850	319;1257;1409	522;2030;2329	522;2030;2329		
Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1	Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1	2;2	2;2	2;2	Tb927.7.4910:mRNA-p1 | transcript=Tb927.7.4910:mRNA | gene=Tb927.7.4910 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:1294952-129606	2	2	2	2	0	2	0	2	0	2	6.2	6.2	6.2	40.483	369	369;369	1	2	0	13.936		By MS/MS	0.43501	1.3081	24.545	2	0	Median	NaN	0.43501	NaN	1.3081	NaN	24.545	0	2	0	0	Median	Median	0	6.2	384270	262850	121420	0	0	0	384270	262850	121420	16707	11428	5279.3	0	0	0	16707	11428	5279.3	0	0	362510	474210				27	334;785	True;True	378;877	598;1447	1020;2394	1020;2394	22	38
Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1	Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1	3;3;3;3	3;3;3;3	3;3;3;3	Tb927.10.5340:mRNA-p1 | transcript=Tb927.10.5340:mRNA | gene=Tb927.10.5340 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S18, putative | transcript_product=40S ribosomal protein S18, putative | location=Tb927_10_v5.1:133	4	3	3	3	3	0	3	0	3	0	22.9	22.9	22.9	17.51	153	153;153;153;153	1	3	0	26.079	By MS/MS		0.47225	0.93913	77.711	3	3	Plateau	0.47225	NaN	0.93913	NaN	77.711	NaN	3	0	3	0	Plateau	Median	22.9	0	539480	320210	219270	539480	320210	219270	0	0	0	59942	35579	24363	59942	35579	24363	0	0	0	1020200	958070	0	0				28	38;405;697	True;True;True	40;456;782	57;718;1287	86;1210;2076	86;1210;2076		
Tb11.v5.0313.1-p1	Tb11.v5.0313.1-p1	1	1	1	Tb11.v5.0313.1-p1 | transcript=Tb11.v5.0313.1 | gene=Tb11.v5.0313 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=variant surface protein, atypical (VSG), putative | transcript_product=variant surface protein, atypical (VSG), putative | locatio	1	1	1	1	0	1	0	1	0	1	1.9	1.9	1.9	44.324	413	413	1	1	0.0052083	5.9792		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	1.9	109510	41394	68119	0	0	0	109510	41394	68119	4977.9	1881.6	3096.3	0	0	0	4977.9	1881.6	3096.3	0	0	39666	382890				29	782	True	874	1444	2390	2390		
Tb11.v5.0326.1-p1;Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1	Tb11.v5.0326.1-p1;Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1	2;1;1	2;1;1	2;1;1	Tb11.v5.0326.1-p1 | transcript=Tb11.v5.0326.1 | gene=Tb11.v5.0326 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot (RHS) protein, putative | transcript_product=retrotransposon hot spot (RHS) protein, putative | location=	3	2	2	2	2	0	2	0	2	0	7	7	7	34.883	302	302;829;829	1	2	0	11.765	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	7	0	94419	92145	2274	94419	92145	2274	0	0	0	5554.1	5420.3	133.76	5554.1	5420.3	133.76	0	0	0	148640	20549	0	0				30	569;839	True;True	643;934	1058;1541	1720;2553	1720;2553		
Tb927.10.14490:mRNA-p1;Tb11.v5.0420.1-p1	Tb927.10.14490:mRNA-p1;Tb11.v5.0420.1-p1	6;6	6;6	6;6	Tb927.10.14490:mRNA-p1 | transcript=Tb927.10.14490:mRNA | gene=Tb927.10.14490 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:3542653-	2	6	6	6	0	6	0	6	0	6	18.8	18.8	18.8	46.24	420	420;420	1	11	0	52.498		By MS/MS	0.47803	1.5716	10.109	9	3	Leave out requantified	NaN	0.47803	NaN	1.5716	NaN	10.109	0	9	0	3	Median	Leave out requantified	0	18.8	2156200	1414600	741590	0	0	0	2156200	1414600	741590	93746	61503	32243	0	0	0	93746	61503	32243	0	0	1622600	2550000				31	225;469;504;656;676;805	True;True;True;True;True;True	253;527;565;737;757;898	388;862;863;864;865;866;950;951;1226;1254;1475	640;1419;1420;1421;1422;1423;1553;1554;1555;1556;1980;1981;1982;2026;2027;2433;2434;2435	640;1420;1554;1980;2026;2434		
Tb11.v5.0468.1-p1	Tb11.v5.0468.1-p1	13	1	1	Tb11.v5.0468.1-p1 | transcript=Tb11.v5.0468.1 | gene=Tb11.v5.0468 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=alpha tubulin, putative | transcript_product=alpha tubulin, putative | location=Tb927_11_bin_v5.1:1902781-1903530(+) | protein_len	1	13	1	1	13	7	1	1	1	1	67.9	4.4	4.4	27.962	249	249	1	2	0	11.911	By MS/MS	By MS/MS	0.096816	0.26539	157.55	2	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0	0	Median	Median	67.9	39.8	4829900	4195500	634350	1548600	1469900	78727	3281300	2725700	555620	321990	279700	42290	103240	97993	5248.5	218750	181710	37041	0	0	2611800	3123100				32	32;84;98;106;154;357;376;452;475;576;643;644;763	False;False;False;False;False;False;False;True;False;False;False;False;False	34;89;104;112;172;403;423;507;533;650;724;725;853	50;146;147;148;172;182;183;184;185;186;266;267;638;639;664;665;666;667;668;669;670;671;830;831;873;1070;1071;1072;1073;1074;1075;1076;1202;1203;1414;1415	73;239;240;241;242;286;302;303;304;305;306;307;308;309;310;311;312;313;314;315;424;425;426;427;428;429;430;1072;1073;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1363;1364;1365;1366;1367;1368;1369;1370;1371;1372;1373;1431;1759;1760;1761;1762;1763;1764;1765;1766;1944;1945;2335;2336;2337;2338;2339;2340;2341;2342;2343;2344;2345;2346	73;239;286;311;426;1072;1135;1369;1431;1763;1944;1945;2342	23;24;25;26;27	99;100;175;196;211
Tb927.1.2390:mRNA-p1;Tb927.1.2370:mRNA-p1;Tb927.1.2350:mRNA-p1;Tb927.1.2330:mRNA-p1;Tb11.v5.0469.1-p1;Tb927.1.2410:pseudogenic_transcript-p1	Tb927.1.2390:mRNA-p1;Tb927.1.2370:mRNA-p1;Tb927.1.2350:mRNA-p1;Tb927.1.2330:mRNA-p1;Tb11.v5.0469.1-p1;Tb927.1.2410:pseudogenic_transcript-p1	18;18;18;18;18;11	18;18;18;18;18;11	18;18;18;18;18;11	Tb927.1.2390:mRNA-p1 | transcript=Tb927.1.2390:mRNA | gene=Tb927.1.2390 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=beta tubulin | transcript_product=beta tubulin | location=Tb927_01_v5.1:581408-582736(+) | protein_length=442 | sequence_SO=	6	18	18	18	17	15	17	15	17	15	47.3	47.3	47.3	49.704	442	442;442;442;442;442;300	1	55	0	222.71	By MS/MS	By MS/MS	0.10924	0.29878	83.72	46	14	Leave out requantified	0.047018	0.21807	0.096368	0.80018	36.217	7.7629	28	18	11	3	Leave out requantified	Leave out requantified	41.4	42.5	54434000	47853000	6581600	26515000	25016000	1498800	27919000	22836000	5082800	2721700	2392600	329080	1325800	1250800	74939	1396000	1141800	254140	60805000	5859700	18389000	24799000				33	37;185;205;243;280;295;390;398;424;447;509;584;595;648;718;728;847;943	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	39;206;229;230;271;311;327;328;438;439;448;476;502;570;658;659;673;729;804;815;816;943;1046	56;311;312;313;314;351;352;353;354;423;424;425;426;492;493;515;516;517;518;519;689;690;691;692;703;704;705;778;779;824;825;956;957;958;959;1090;1091;1092;1093;1094;1120;1121;1122;1123;1213;1317;1318;1333;1334;1335;1336;1555;1556;1719;1720	85;499;500;501;502;503;504;505;506;507;508;509;510;571;572;573;574;575;576;577;578;579;580;581;582;583;584;695;696;697;698;699;700;819;820;856;857;858;859;860;861;862;863;864;865;866;867;868;869;870;871;872;873;874;1155;1156;1157;1158;1171;1172;1173;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1286;1287;1343;1344;1345;1346;1347;1348;1349;1350;1351;1352;1353;1354;1355;1561;1562;1563;1564;1783;1784;1785;1786;1787;1788;1789;1790;1791;1792;1793;1794;1827;1828;1829;1830;1831;1832;1833;1964;2135;2136;2137;2138;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;2151;2152;2153;2174;2175;2176;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2570;2571;2803;2804;2805;2806;2807;2808;2809;2810	85;506;583;699;820;871;1155;1177;1287;1348;1564;1783;1829;1964;2136;2185;2570;2803	28;29;30;31;32;33;34	73;164;165;293;299;330;388
Tb927.10.3940:mRNA-p1;Tb11.v5.0501.1-p1;Tb927.10.3930:mRNA-p1	Tb927.10.3940:mRNA-p1;Tb11.v5.0501.1-p1;Tb927.10.3930:mRNA-p1	3;3;2	3;3;2	3;3;2	Tb927.10.3940:mRNA-p1 | transcript=Tb927.10.3940:mRNA | gene=Tb927.10.3940 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S3A, putative | transcript_product=40S ribosomal protein S3A, putative | location=Tb927_10_v5.1:104	3	3	3	3	3	0	3	0	3	0	11.7	11.7	11.7	29.422	256	256;256;256	1	3	0	24.055	By MS/MS		0.090163	0.17208	30.017	3	2	Median	0.090163	NaN	0.17208	NaN	30.017	NaN	3	0	2	0	Median	Median	11.7	0	693240	618330	74916	693240	618330	74916	0	0	0	46216	41222	4994.4	46216	41222	4994.4	0	0	0	1935800	333110	0	0				34	349;451;910	True;True;True	394;506;1011	621;829;1667	1044;1362;2728	1044;1362;2728		
Tb927.10.5620:mRNA-p1;Tb11.v5.0531.1-p1	Tb927.10.5620:mRNA-p1;Tb11.v5.0531.1-p1	22;22	22;22	22;22	Tb927.10.5620:mRNA-p1 | transcript=Tb927.10.5620:mRNA | gene=Tb927.10.5620 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=fructose-bisphosphate aldolase, glycosomal | transcript_product=fructose-bisphosphate aldolase, glycosomal | location=Tb9	2	22	22	22	18	17	18	17	18	17	49.2	49.2	49.2	41.071	372	372;372	1	76	0	206.74	By MS/MS	By MS/MS	0.52848	1.0881	20.975	65	9	Leave out requantified	0.56641	0.30843	1.0954	1.0899	28.31	10.078	32	33	1	8	Leave out requantified	Leave out requantified	40.6	39.8	110730000	80818000	29912000	44433000	28457000	15976000	66297000	52361000	13936000	5272900	3848500	1424400	2115900	1355100	760770	3157000	2493400	663600	80026000	87662000	44291000	81604000				35	18;53;77;212;240;269;291;292;329;403;478;479;523;549;647;739;750;789;790;842;947;962	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	20;55;82;237;268;298;299;322;323;373;454;537;538;585;619;620;728;827;840;881;882;938;1050;1067;1068	29;30;81;82;123;124;125;126;127;362;363;364;365;366;367;420;466;467;468;469;470;471;508;509;510;511;592;714;715;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;979;1027;1028;1029;1030;1206;1207;1208;1209;1210;1211;1212;1351;1352;1389;1451;1452;1453;1454;1455;1456;1457;1548;1549;1550;1724;1747;1748;1749;1750	43;44;45;46;47;123;124;125;126;127;128;129;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;594;595;596;597;598;599;600;601;602;603;604;605;606;607;608;609;690;691;781;782;783;784;785;786;787;788;789;790;791;792;793;794;795;842;843;844;845;846;847;848;849;850;851;852;1011;1012;1013;1199;1200;1201;1202;1203;1204;1205;1206;1207;1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1591;1592;1593;1594;1595;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;2204;2205;2206;2207;2208;2209;2210;2211;2292;2293;2294;2295;2296;2297;2298;2299;2300;2301;2302;2398;2399;2400;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2562;2563;2564;2565;2814;2815;2845;2846;2847;2848;2849;2850	45;123;184;596;690;791;847;851;1012;1205;1454;1474;1595;1673;1961;2208;2296;2403;2406;2563;2814;2850	35;36;37	134;151;344
Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	Tb927.8.5010:mRNA-p1;Tb927.8.5000:mRNA-p1;Tb927.8.4990:mRNA-p1;Tb927.8.4980:mRNA-p1;Tb927.8.4970:mRNA-p1;Tb11.v5.0538.1-p1	5;5;5;5;5;5	5;5;5;5;5;5	5;5;5;5;5;5	Tb927.8.5010:mRNA-p1 | transcript=Tb927.8.5010:mRNA | gene=Tb927.8.5010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Paraflagellar rod protein 2-5 | transcript_product=Paraflagellar rod protein 2-5 | location=Tb927_08_v5.1:1483434-1485236(+)	6	5	5	5	0	5	0	5	0	5	12.5	12.5	12.5	69.596	600	600;600;600;600;600;600	1	6	0	46.426		By MS/MS	0.4797	1.4837	13.545	6	0	Leave out requantified	NaN	0.4797	NaN	1.4837	NaN	13.545	0	6	0	0	Median	Leave out requantified	0	12.5	1308400	858590	449810	0	0	0	1308400	858590	449810	45117	29607	15511	0	0	0	45117	29607	15511	0	0	1094400	1623800				36	65;207;705;768;814	True;True;True;True;True	70;232;790;791;858;907	107;356;1297;1298;1421;1488	164;586;2092;2093;2094;2095;2353;2354;2455;2456	164;586;2095;2354;2456	38	174
Tb927.10.10980:mRNA-p1;Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10910:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1	Tb927.10.10980:mRNA-p1;Tb927.10.10970:mRNA-p1;Tb927.10.10960:mRNA-p1;Tb927.10.10950:mRNA-p1;Tb927.10.10940:mRNA-p1;Tb927.10.10930:mRNA-p1;Tb927.10.10920:mRNA-p1;Tb927.10.10910:mRNA-p1;Tb927.10.10900:mRNA-p1;Tb927.10.10890:mRNA-p1;Tb11.v5.0543.1-p1	6;6;6;6;6;6;6;6;6;6;6	6;6;6;6;6;6;6;6;6;6;6	6;6;6;6;6;6;6;6;6;6;6	Tb927.10.10980:mRNA-p1 | transcript=Tb927.10.10980:mRNA | gene=Tb927.10.10980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Tb927_10_v5.1:2680017-	11	6	6	6	6	0	6	0	6	0	9.2	9.2	9.2	80.793	704	704;704;704;704;704;704;704;704;704;704;704	1	6	0	37.801	By MS/MS		0.11907	0.2057	24.951	3	3	Median	0.11907	NaN	0.2057	NaN	24.951	NaN	3	0	3	0	Median	Median	9.2	0	491860	458400	33462	491860	458400	33462	0	0	0	14905	13891	1014	14905	13891	1014	0	0	0	1024800	210790	0	0				37	21;44;110;209;257;328	True;True;True;True;True;True	23;46;116;234;286;372	33;69;191;358;453;591	51;107;321;588;760;761;1010	51;107;321;588;760;1010		
Tb927.4.210:pseudogenic_transcript-p1;Tb11.v5.0594.1-p1;Tb927.2.400:mRNA-p1;Tb927.2.380:mRNA-p1;Tb927.2.280:mRNA-p1;Tb927.1.190:pseudogenic_transcript-p1	Tb927.4.210:pseudogenic_transcript-p1;Tb11.v5.0594.1-p1;Tb927.2.400:mRNA-p1;Tb927.2.380:mRNA-p1;Tb927.2.280:mRNA-p1;Tb927.1.190:pseudogenic_transcript-p1	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Tb927.4.210:pseudogenic_transcript-p1 | transcript=Tb927.4.210:pseudogenic_transcript | gene=Tb927.4.210 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein 2 (RHS2), interrupted, degenerate | transcript_product=ret	6	1	1	1	1	0	1	0	1	0	2.3	2.3	2.3	52.568	477	477;602;789;789;789;830	1	1	0	8.3289	By MS/MS		NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	2.3	0	37930	37930	0	37930	37930	0	0	0	0	1580.4	1580.4	0	1580.4	1580.4	0	0	0	0	58432	0	0	0				38	181	True	202	307	495	495		
Tb927.5.1230:mRNA-p1;Tb11.v5.0639.1-p1	Tb927.5.1230:mRNA-p1;Tb11.v5.0639.1-p1	1;1	1;1	1;1	Tb927.5.1230:mRNA-p1 | transcript=Tb927.5.1230:mRNA | gene=Tb927.5.1230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:465845-467296(	2	1	1	1	0	1	0	1	0	1	2.7	2.7	2.7	58.564	483	483;483	1	1	0	8.0251		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	2.7	77919	61385	16534	0	0	0	77919	61385	16534	3387.8	2668.9	718.86	0	0	0	3387.8	2668.9	718.86	0	0	58822	92934				39	544	True	614	1022	1658	1658		
Tb11.v5.0713.1-p1;Tb927.2.1080:mRNA-p1;Tb927.11.4770:pseudogenic_transcript-p1	Tb11.v5.0713.1-p1;Tb927.2.1080:mRNA-p1;Tb927.11.4770:pseudogenic_transcript-p1	2;1;1	2;1;1	1;0;0	Tb11.v5.0713.1-p1 | transcript=Tb11.v5.0713.1 | gene=Tb11.v5.0713 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Retrotransposon hot spot protein 6 (RHS6), putative | transcript_product=Retrotransposon hot spot protein 6 (RHS6), putative | loc	3	2	2	1	2	0	2	0	1	0	3.1	3.1	1.7	78.342	688	688;674;775	1	2	0	16.158	By MS/MS		0.084476	0.1623	23.914	2	2	Median	0.084476	NaN	0.1623	NaN	23.914	NaN	2	0	2	0	Median	Median	3.1	0	292200	274620	17574	292200	274620	17574	0	0	0	6640.8	6241.4	399.42	6640.8	6241.4	399.42	0	0	0	643390	104420	0	0				40	99;563	True;True	105;636	173;1050	287;1708	287;1708		
Tb11.v5.0726.1-p1;Tb927.11.460:mRNA-p1	Tb11.v5.0726.1-p1;Tb927.11.460:mRNA-p1	1;1	1;1	1;1	Tb11.v5.0726.1-p1 | transcript=Tb11.v5.0726.1 | gene=Tb11.v5.0726 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=WD domain, G-beta repeat/Utp13 specific WD40 associated domain containing protein, putative | transcript_product=WD domain, G-beta	2	1	1	1	1	1	1	1	1	1	1.3	1.3	1.3	77.415	694	694;948	1	2	0	6.3087	By MS/MS	By MS/MS	0.065668	0.16759	99.081	2	2	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	Median	Median	1.3	1.3	589180	550890	38296	185090	158550	26540	404100	392340	11756	18412	17215	1196.7	5784	4954.6	829.37	12628	12261	367.37	0	0	375960	66078				41	198	True	221	338;339	553;554	554		
Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1;Tb927.7.710:mRNA-p1;Tb927.11.11290:mRNA-p1;Tb11.v5.1034.1-p1	Tb927.11.11330:mRNA-p1;Tb11.v5.1035.1-p1	5;5;2;2;1	5;5;2;2;1	5;5;2;2;1	Tb927.11.11330:mRNA-p1 | transcript=Tb927.11.11330:mRNA | gene=Tb927.11.11330 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 70 | transcript_product=heat shock protein 70 | location=Tb927_11_v5.1:3028681-3030666(+) | protein	5	5	5	5	5	0	5	0	5	0	9.8	9.8	9.8	71.408	661	661;689;639;676;203	1	5	0	35.116	By MS/MS		0.13477	0.25063	83.058	5	5	Median	0.13477	NaN	0.25063	NaN	83.058	NaN	5	0	5	0	Median	Median	9.8	0	459340	397400	61937	459340	397400	61937	0	0	0	13510	11688	1821.7	13510	11688	1821.7	0	0	0	1184400	296850	0	0				42	91;94;122;593;596	True;True;True;True;True	97;100;130;671;674	163;166;210;1118;1124	272;275;354;1825;1834	272;275;354;1825;1834		
Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	Tb927.10.2110:mRNA-p1;Tb927.10.2100:mRNA-p1;Tb927.10.2090:mRNA-p1;Tb11.v5.1046.1-p1	13;13;13;13	13;13;13;13	13;13;13;13	Tb927.10.2110:mRNA-p1 | transcript=Tb927.10.2110:mRNA | gene=Tb927.10.2110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=elongation factor 1-alpha | transcript_product=elongation factor 1-alpha | location=Tb927_10_v5.1:549417-550766(+) | prot	4	13	13	13	13	6	13	6	13	6	37	37	37	49.105	449	449;449;449;449	1	32	0	99.465	By MS/MS	By MS/MS	0.13256	0.24598	30.509	31	11	Leave out requantified	0.10811	0.21042	0.20658	0.69535	11.987	24.989	22	9	9	2	Leave out requantified	Leave out requantified	37	16.3	15803000	13816000	1987700	13013000	11593000	1420200	2790000	2222500	567490	658480	575660	82819	542230	483050	59174	116250	92605	23645	25607000	5289800	2495800	3816200				43	177;256;371;502;557;631;668;683;759;841;858;860;925	True;True;True;True;True;True;True;True;True;True;True;True;True	198;284;285;418;563;630;711;749;765;766;849;936;937;955;957;958;1026	302;303;448;449;450;451;452;658;659;947;948;1042;1183;1242;1243;1263;1264;1408;1543;1544;1545;1546;1547;1573;1574;1576;1577;1578;1579;1580;1581;1688	488;489;747;748;749;750;751;752;753;754;755;756;757;758;759;1112;1113;1114;1115;1116;1117;1548;1549;1550;1551;1698;1924;2008;2009;2010;2011;2012;2036;2037;2328;2555;2556;2557;2558;2559;2560;2561;2596;2597;2598;2600;2601;2602;2603;2604;2605;2756	488;754;1113;1549;1698;1924;2008;2037;2328;2556;2597;2603;2756	39;40;41;42;43;44	8;201;260;282;392;398
Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	Tb927.3.4330:mRNA-p1;Tb927.3.4320:mRNA-p1;Tb927.3.4310:mRNA-p1;Tb927.3.4300:mRNA-p1;Tb927.3.4290:mRNA-p1;Tb11.v5.1055.1-p1	10;10;10;10;10;10	10;10;10;10;10;10	10;10;10;10;10;10	Tb927.3.4330:mRNA-p1 | transcript=Tb927.3.4330:mRNA | gene=Tb927.3.4330 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Paraflagellar rod protein 1-5 | transcript_product=Paraflagellar rod protein 1-5 | location=Tb927_03_v5.1:1217516-1219285(-)	6	10	10	10	0	10	0	10	0	10	18.2	18.2	18.2	68.682	589	589;589;589;589;589;589	1	11	0	91.623		By MS/MS	0.45838	1.4428	26.902	10	0	Leave out requantified	NaN	0.45838	NaN	1.4428	NaN	26.902	0	10	0	0	Median	Leave out requantified	0	18.2	2812500	1927800	884710	0	0	0	2812500	1927800	884710	100450	68850	31597	0	0	0	100450	68850	31597	0	0	2411600	3479500				44	12;64;105;374;473;706;794;799;828;918	True;True;True;True;True;True;True;True;True;True	14;68;69;111;421;531;792;886;891;923;1019	21;105;106;181;662;871;1299;1461;1467;1522;1679	31;161;162;163;299;300;301;1121;1122;1123;1124;1428;1429;2096;2097;2098;2099;2414;2421;2422;2521;2522;2523;2746	31;161;301;1121;1429;2098;2414;2422;2523;2746	45;46	89;109
