Gene ID	Organism	Genomic Location (Gene)	Product Description	Gene Name or Symbol	
Tb11.1230	Trypanosoma brucei brucei TREU927	tryp_XI-396e01.q2k3025:5,353..8,064(+)	Component of motile flagella 16	CMF16	
Tb11.1210	Trypanosoma brucei brucei TREU927	tryp_XI-396e01.q2k3025:405..2,177(+)	hypothetical protein	N/A	
Tb11.1760	Trypanosoma brucei brucei TREU927	tryp_XI-974h12.q1k:7,278..9,272(+)	hypothetical protein	N/A	
Tb927.1.2530	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:600,372..601,800(+)	histone H3, putative	N/A	
Tb927.7.3790	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:991,146..992,999(-)	ras-like small GTPase, putative	FRP	
Tb927.2.4840	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:859,870..860,567(-)	Vitamin K epoxide reductase family, putative	N/A	
Tb11.v5.0957	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:4,914,042..4,915,540(-)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.1.3040	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:671,777..672,908(+)	hypothetical protein, conserved	N/A	
Tb927.4.1600	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:410,608..411,437(-)	AAA domain containing protein, putative	N/A	
Tb11.v5.0626	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,016,213..3,027,157(+)	protein kinase, putative	N/A	
Tb927.11.3290	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:956,244..961,177(+)	Tripartite attachment complex protein 166	p166	
Tb927_10_v4.snoRNA.0080:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,883,604..3,883,669(+)	term	N/A	
Tb927.3.1580	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:412,885..414,608(-)	hypothetical protein, conserved	N/A	
Tb927.9.5220	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:920,586..920,998(+)	conserved protein	N/A	
Tb927.9.14160	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,213,001..2,214,071(-)	rieske iron-sulfur protein, mitochondrial precursor	RISP	
Tb927.10.1220	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:328,820..332,902(-)	hypothetical protein	N/A	
Tb11.v5.0190	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:259,579..261,086(-)	protein kinase, putative	N/A	
Tb927.11.7460	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,117,594..2,119,854(-)	luminal binding protein 1 (BiP), putative	BiP	
Tb927.1.820	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:254,295..256,475(-)	kelch domain-containing protein	N/A	
Tb927.8.1180	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:375,186..379,041(-)	vacuolar-type Ca2+-ATPase 1	TbA1	
Tb927.10.9730	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,405,668..2,407,190(+)	hypothetical protein, conserved	N/A	
Tb927.11.2910	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:851,699..853,701(-)	phosphoglycerate mutase, putative	iPGAM	
Tb927.11.15500	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,118,101..4,119,040(-)	LSU ribosomal protein, mitochondrial, putative	N/A	
Tb927.4.3230	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:850,780..851,976(-)	ESAG11-related protein, putative	N/A	
Tb927.4.3420	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:892,337..894,355(-)	wee1-like protein kinase	WEE1	
Tb927.4.4230	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,118,280..1,124,885(-)	RNA-binding protein, putative	RBP31	
Tb927.5.4000	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,295,006..1,296,015(+)	hypothetical protein	N/A	
Tb11.v5.0520	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:2,180,235..2,190,265(-)	acetyltransferase, putative	N/A	
Tb927.11.3380	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:991,858..993,033(+)	Ran-binding protein 1, putative	RanBP1	
Tb927.8.2663	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:793,455..793,527(+)	tRNA Asparagine	N/A	
Tb927.9.12490	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,951,118..1,955,671(+)	hypothetical protein, conserved	N/A	
Tb927.10.12900	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,135,001..3,135,489(-)	Complex 1 protein (LYR family), putative	N/A	
Tb08.27P2.370	Trypanosoma brucei brucei TREU927	Tbrucei.chr8.100:62,418..63,866(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.7.4230	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,125,080..1,125,892(+)	Enriched in surface-labeled proteome protein 12	ESP12	
Tb927.9.15560	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,429,773..2,431,079(+)	BARP protein	BARP	
Tb09.v4.0065	Trypanosoma brucei brucei TREU927	tryp_IXb-1c10.p1c:14,768..15,749(-)	expression site-associated gene 1 (ESAG 1), putative	N/A	
Tb927.10.8400	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,080,709..2,081,601(+)	legume-like lectin, putative	N/A	
Tb927.2.5200	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:914,914..917,250(+)	hypothetical protein, conserved	N/A	
Tb927.6.5420	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,499,650..1,501,287(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.11.1030	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:262,983..265,867(+)	kinetoplastid kinetochore protein 7	kkt7	
Tb927.11.6350	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,785,113..1,789,003(-)	AAA ATPase, putative	N/A	
Tb927.9.2210	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:493,084..494,400(-)	hypothetical protein	N/A	
Tb927.9.3590	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:723,532..724,421(+)	monothiol glutaredoxin, putative	N/A	
Tb927.10.16100	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,959,358..3,960,698(+)	FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative	N/A	
Tb927.10.12420	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,009,947..3,010,539(-)	predicted S. cerevisiae Got1 homologue	N/A	
Tb927.10.14730	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,594,939..3,596,289(-)	chaperone protein DnaJ, putative	J15	
Tb927.10.15510	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,806,253..3,807,526(+)	hypothetical protein, conserved	N/A	
Tb927.10.16080	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,955,341..3,956,311(+)	hypothetical protein, conserved	N/A	
Tb11.1431	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:5,189,426..5,190,784(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.11.7340	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,068,829..2,071,339(+)	hypothetical protein, conserved	N/A	
Tb927.2.5630	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:1,014,894..1,016,802(+)	hypothetical protein, conserved	N/A	
Tb927.10.3970	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,049,506..1,055,793(-)	hypothetical protein, conserved	N/A	
Tb927.10.2100	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:547,174..549,201(+)	elongation factor 1-alpha	EEF1A	
Tb927.11.17170	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,614,925..4,616,461(-)	variant surface glycoprotein (VSG), degenerate	N/A	
Tb927.11.5650	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,596,889..1,598,767(+)	replication factor C, subunit 1, putative	N/A	
Tb927.7.6030	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,624,431..1,626,189(-)	hypothetical protein	N/A	
Tb927.8.6470	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,869,009..1,870,719(+)	SET domain containing protein, putative	N/A	
Tb927.11.8020	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,256,566..2,257,188(+)	hypothetical protein, conserved	N/A	
Tb11.0550	Trypanosoma brucei brucei TREU927	tryp_XI-1084b11.p1k:8,382..8,993(-)	hypothetical protein, conserved	N/A	
Tb927.5.2870	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:959,902..961,357(-)	hypothetical protein	N/A	
Tb927.10.4260	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,113,456..1,115,239(+)	hypothetical protein, conserved	N/A	
Tb927.10.11860	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,896,268..2,898,015(+)	Cornifin (SPRR) family, putative	N/A	
Tb927.11.17580	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,755,967..4,757,645(+)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927.11.17240	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,636,042..4,636,498(+)	variant surface glycoprotein (VSG), fragment, degenerate	N/A	
Tb927.11.6320	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,776,729..1,778,210(-)	MRB1-associated protein	N/A	
Tb927.11.6060	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,713,786..1,715,542(-)	major facilitator superfamily, putative	N/A	
Tb927.11.490	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:111,268..113,053(-)	hypothetical protein, conserved	N/A	
Tb927.1.4780	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:979,505..981,555(+)	Alpha/beta hydrolase domain-containing protein	N/A	
Tb927.1.4520	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:934,408..939,104(+)	Zinc finger, C3HC4 type (RING finger), putative	N/A	
Tb927.2.5900	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:1,073,525..1,076,935(+)	hypothetical protein, conserved	N/A	
Tb927.3.4810	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,354,950..1,356,515(-)	dna replication complex gins protein sld5	sld5	
Tb927.4.900	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:255,854..257,278(-)	hypothetical protein, conserved	N/A	
Tb927.4.1560	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:404,419..406,107(-)	hypothetical protein, conserved	N/A	
Tb927.5.3880	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,264,456..1,266,696(+)	hypothetical protein, conserved	N/A	
Tb927.5.700	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:302,214..305,828(+)	F-box-like, putative	N/A	
Tb927.6.4010	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,175,380..1,175,871(-)	Translation machinery associated TMA7, putative	N/A	
Tb927.6.1680	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:567,711..569,307(-)	mitochondrial RNA binding protein 1	H2F1	
Tb927.6.5510	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,528,102..1,529,187(-)	expression site-associated gene 3 (ESAG3), degenerate	N/A	
Tb927.6.870	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:370,127..376,910(-)	myotubularin, putative	N/A	
Tb927_06_v4.snoRNA.0035	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:614,672..614,748(-)	H/ACA-like snoRNA	N/A	
Tb927.9.16590	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,702,379..2,703,757(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.5.3280	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,083,945..1,087,829(-)	Basal body protein	BBP135	
Tb927.10.5550	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,391,946..1,392,713(+)	hypothetical protein, conserved	N/A	
Tb927.11.9890	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,668,583..2,671,253(+)	signal recognition particle receptor alpha subunit, putative	N/A	
Tb927.11.12110	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,234,483..3,238,462(+)	RNA helicase, putative	N/A	
Tb927.7.3880	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:1,011,321..1,013,751(-)	Basal body protein	BBP87	
Tb927.8.6560	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,890,050..1,891,223(+)	SpoU rRNA Methylase family, putative	N/A	
Tb927.8.7340	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,106,984..2,109,357(-)	trans-sialidase, putative	N/A	
Tb927.8.7070	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,030,613..2,031,901(+)	Flagellum attachment zone protein 15	FAZ15	
Tb927.8.2200	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:676,377..677,388(+)	terbinafine resistance locus protein (yip1), putative	N/A	
Tb927.8.2862	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:861,366..861,438(+)	tRNA Lysine	N/A	
Tb927_09_v4.snoRNA.0064	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,686,118..1,686,195(-)	H/ACA-like snoRNA	N/A	
Tb927.9.12720	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,000,348..2,001,585(+)	Ribonuclease D	RND	
Tb927.9.1700	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:388,870..390,687(-)	btb/poz domain containing protein, putative	N/A	
Tb927.9.17780	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:3,012,583..3,018,198(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.10.12040	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,928,005..2,929,722(+)	mitogen-activated protein kinase 11, putative	MAPK11	
Tb927_10_v4.snoRNA.0043:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,268,880..3,268,948(-)	term	N/A	
Tb927.10.7930	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,980,443..1,983,020(-)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	PGAM	
Tb927.10.2890	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:746,231..747,913(+)	enolase	N/A	
Tb927.10.12200	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,970,906..2,971,937(+)	hypothetical protein, conserved	N/A	
Tb927.10.4900	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,220,606..1,222,792(-)	TPR-repeat-containing chaperone protein DNAJ, putative	J52	
Tb927.10.9710	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,402,390..2,402,869(+)	hypothetical protein	N/A	
Tb927.10.3820	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,004,009..1,011,058(-)	hypothetical protein, conserved	N/A	
Tb927.10.3610	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:934,994..936,937(+)	hypothetical protein, conserved	N/A	
Tb927.10.4010	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,059,406..1,061,583(-)	hypothetical protein, conserved	N/A	
Tb927.10.12170	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,965,288..2,966,502(+)	RAB-interacting protein, putative	N/A	
Tb927.10.10730	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,605,764..2,610,316(-)	RNA Interference Factor 5	RIF5	
Tb927.10.13390	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,269,884..3,272,427(-)	hypothetical protein, conserved	N/A	
Tb927.11.19010	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:129,385..130,938(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb11.v5.0148	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:136,122..139,777(-)	hypothetical protein, conserved	N/A	
Tb927.2.5120	Trypanosoma brucei brucei TREU927	Tb927_02_v5.1:905,632..906,444(+)	Vesicle-associated membrane protein 7	VAMP7	
Tb927.3.1100	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:268,941..270,153(+)	exonuclease, putative	N/A	
Tb927.3.440	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:95,058..96,632(+)	variant surface glycoprotein (VSG), putative	N/A	
Tb927.4.5570	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,518,959..1,520,522(-)	variant surface glycoprotein, degenerate	N/A	
Tb927.4.370	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:109,183..111,757(-)	hypothetical protein, conserved	N/A	
Tb927.4.3560	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:913,574..914,813(-)	protein phoshatase 1, putative	N/A	
Tb927.4.3460	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:898,572..899,526(-)	ubiquitin-conjugating enzyme E2, putative	N/A	
Tb927.4.1310	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:343,085..344,700(-)	ZFP family member, putative	ZC3H9	
Tb927.5.500	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:212,561..217,492(-)	hypothetical protein, conserved	N/A	
Tb927.5.1800	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:617,331..617,967(+)	hypothetical protein, conserved	N/A	
Tb927.5.3360	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,121,692..1,123,713(-)	mitochondrial ribosomal protein L2	MRPL2	
Tb927.5.5160	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,608,577..1,610,215(-)	variant surface glycoprotein, degenerate	N/A	
Tb927_06_v4.snoRNA.0039	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:618,961..619,037(-)	H/ACA-like snoRNA	N/A	
Tb927.6.1470	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:516,578..518,029(-)	hypothetical protein, conserved	N/A	
Tb927.7.440	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:78,666..79,706(-)	hypothetical protein, conserved	N/A	
Tb927.9.9660	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,537,741..1,539,803(-)	Mitochondrial import receptor subunit ATOM40	ATOM40	
Tb927.9.17550	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,954,619..2,959,680(+)	variant surface glycoprotein (VSG, pseudogene), putative	VSG22	
Tb927.9.9840	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,560,599..1,561,222(-)	lipoic acid containing carrier protein, putative	GCVH	
Tb927.9.9860	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,562,466..1,564,642(-)	170 kDa glucose-regulated protein, putative	GRP170	
Tb927_09_v4.snoRNA.0014	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,682,724..1,682,819(-)	H/ACA-like snoRNA	N/A	
Tb927.9.11120	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,761,126..1,763,060(-)	Chromosome passenger complex (CPC) protein INCENP N terminal, putative	mS22	
Tb927.9.850	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:203,889..204,898(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.10.8820	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,179,476..2,183,159(+)	hook complex protein, conserved	SMEE1	
Tb927_10_v4.snoRNA.0010:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,398,462..3,398,547(-)	term	N/A	
Tb927.10.4990	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,238,500..1,239,759(+)	cdc2-related kinase 3	CRK3	
Tb927_10_v4.snoRNA.0049:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,784,778..2,784,843(+)	term	N/A	
Tb927.10.10800	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,623,580..2,625,065(-)	palmitoyl acyltransferase 2, putative	N/A	
Tb927.10.600	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:157,838..159,632(+)	Mitochondrial ribosomal protein L29	MRPL29	
Tb927.10.10430	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,568,505..2,569,588(-)	hypothetical protein, conserved	N/A	
Tb927.10.570	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:148,139..153,298(+)	Sec8 exocyst complex component specific domain containing protein, putative	N/A	
Tb927.10.12980	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,152,650..3,155,251(-)	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase, putative	N/A	
Tb927.10.5530	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,387,474..1,390,170(+)	hypothetical protein, conserved	N/A	
Tb927_10_v4.snoRNA.0039:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:2,785,451..2,785,515(+)	term	N/A	
Tb927.10.2710	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:698,291..698,485(+)	ferredoxin, putative	N/A	
Tb11.v5.0445	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,787,470..1,793,562(-)	hypothetical protein, conserved	N/A	
Tb11.v5.0690	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:3,469,419..3,470,624(+)	hypothetical protein, conserved	N/A	
Tb927.11.1000	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:257,981..258,656(+)	kinetoplastid kinetochore protein 16	N/A	
Tb927.11.3990	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,167,078..1,168,669(+)	hypothetical protein, conserved	N/A	
Tb927.11.11770	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,155,521..3,158,782(+)	Eukaryotic translation initiation factor 4E-3	EIF4E3	
Tb927.11.17990	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,872,257..4,873,204(-)	hypothetical protein, conserved, point mutation	N/A	
Tb927.11.1490	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:446,904..449,214(+)	receptor-type adenylate cyclase GRESAG 4, putative (fragment)	N/A	
Tb927.11.13760	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,670,382..3,671,203(+)	hypothetical protein, conserved	N/A	
Tb927.11.5860	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,661,803..1,663,649(+)	AGC/RSK family serine/threonine kinase, putative	N/A	
Tb927.11.14720	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,912,906..3,914,291(-)	hypothetical protein, conserved	N/A	
Tb927.11.1280	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:373,098..374,671(+)	hypothetical protein, conserved	N/A	
Tb927.11.16810	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,473,894..4,476,442(-)	dynein light intermediate chain D1bLIC, putative	N/A	
Tb927.11.14110	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,740,613..3,741,957(+)	TFIIH basal transcription factor subunit	TSP2	
Tb927.11.11740	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:3,147,000..3,149,049(+)	membrane-bound acid phosphatase, putative	N/A	
Tb927.11.4390	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:1,273,757..1,275,567(-)	Histidine phosphatase superfamily (branch 1), putative	N/A	
Tb927.11.1610	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:498,463..501,572(-)	Exocyst complex component Sec6, putative	N/A	
Tb927.11.17740	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,799,368..4,799,836(-)	variant surface glycoprotein (VSG), degenerate fragment	N/A	
Tb927.4.5335	Trypanosoma brucei brucei TREU927	Tb927_04_v5.1:1,451,305..1,452,615(-)	hypothetical protein	N/A	
Tb927.6.1910	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:630,981..632,952(-)	hypothetical protein, conserved	N/A	
Tb927.8.5520	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,633,118..1,633,761(+)	hypothetical protein, conserved	N/A	
Tb927.8.5460	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,617,357..1,618,616(+)	Flagellar calcium-binding 44 kDa protein	Tb-44	
Tb927.10.13470	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,288,206..3,290,909(-)	PA26 p53-induced protein (sestrin), putative	N/A	
Tb927.10.4280	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,116,307..1,117,323(+)	ubiquinol-cytochrome c reductase complex 14 kda protein	N/A	
Tb927.11.18920	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:92,655..93,751(-)	variant surface protein (VSG, atypical), putative	N/A	
Tb09.v4.0205	Trypanosoma brucei brucei TREU927	tryp_IXb-93a04.p1c:7,986..8,959(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.6.1830	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:608,229..609,652(-)	Cleavage stimulation factor subunit 50, putative	CSTF50	
Tb927.7.7480	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:2,156,578..2,159,098(-)	trans-sialidase, putative	N/A	
Tb927.3.4290	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:1,208,659..1,210,764(-)	Paraflagellar rod protein 1-1	PFR1-1	
Tb11.v5.0375	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,266,659..1,277,221(-)	hypothetical protein, conserved	N/A	
Tb927.9.16710	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,735,578..2,736,113(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.3390	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:701,338..702,886(+)	Calmodulin-binding, putative	N/A	
Tb927.9.460	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:111,766..113,223(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.4530	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:839,600..842,856(+)	hypothetical protein, conserved	N/A	
Tb927.9.8570	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,388,063..1,388,549(-)	COPI associated protein, putative	N/A	
Tb927.9.9810	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,556,841..1,557,783(-)	hypothetical protein, conserved	N/A	
Tb927.9.3860	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:758,180..760,795(+)	Dyggve-Melchior-Clausen syndrome protein, putative	N/A	
Tb10.NT.68	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,635,495..1,635,785(+)	Noncoding RNA, putative	N/A	
Tb927.10.5990	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,503,675..1,505,341(-)	Centrosomal protein of 57 kDa, putative	CEP57	
Tb927.10.4700	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,186,056..1,187,087(-)	dolicholphosphate-mannose synthase, putative	N/A	
Tb927.10.2400	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:619,328..620,086(-)	hypothetical protein	N/A	
Tb927.10.6410	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,619,510..1,623,285(-)	DNA mismatch repair protein MSH6	MSH6	
Tb927.10.13680	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,342,317..3,344,408(-)	lipase domain protein, putative	N/A	
Tb927.10.14180	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,443,893..3,445,525(-)	protein transport protein SEC13	SEC13	
Tb927.10.13320	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,250,999..3,251,689(-)	DNA-directed RNA polymerase II/III subunit, putative	RPB5	
